date,positive,negative,neutral,positive_pct,negative_pct,neutral_pct,total
2025-03-23,0,0,1,0.0,0.0,100.0,1
2025-10-02,0,0,2,0.0,0.0,100.0,2
2025-10-03,0,0,3,0.0,0.0,100.0,3
2025-10-04,0,0,2,0.0,0.0,100.0,2
2025-10-05,0,0,1,0.0,0.0,100.0,1
2025-10-06,0,0,4,0.0,0.0,100.0,4
2025-10-07,0,0,3,0.0,0.0,100.0,3
2025-10-10,0,0,1,0.0,0.0,100.0,1
2025-10-13,0,0,1,0.0,0.0,100.0,1
2025-10-14,0,0,1,0.0,0.0,100.0,1
2025-10-15,0,0,1,0.0,0.0,100.0,1
2025-10-25,0,0,1,0.0,0.0,100.0,1
2025-11-02,0,0,1,0.0,0.0,100.0,1
2025-11-12,0,0,1,0.0,0.0,100.0,1
2025-11-28,0,0,1,0.0,0.0,100.0,1
